job_title,company,location,source,url,description,date_extracted
Ai Machine Learning Engineer (M/F),TNP CONSULTANTS,Levallois-Perret Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/ai-machine-learning-engineer-m-f-at-tnp-consultants-4388051977?position=11&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=yt1FP%2FRjZJq6vB5HD%2Ft4Rw%3D%3D,,2026-03-29 22:01:04
Data Scientist,AQEMIA,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-at-aqemia-4389439535?position=12&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=2LjIHuyuFH6OFvMJR05vFA%3D%3D,,2026-03-29 22:01:04
Data Scientist Ia Expérimenté H/F,SYNCHRONE FR,Bouches-du-Rhône Provence-Alpes-Côte dAzur France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-ia-exp%C3%A9riment%C3%A9-h-f-at-synchrone-fr-4386691480?position=13&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=vQVJTunmNSW%2FQYnoaHIzCw%3D%3D,,2026-03-29 22:01:04
Data Scientist - Stage,VUSION,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-stage-at-vusion-4361188477?position=15&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=KhRdsWGPOnJbIdcQTu614w%3D%3D,,2026-03-29 22:01:04
Data Scientist Senior F/H,SOCOTEC,Palaiseau Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-senior-f-h-at-socotec-4387129200?position=16&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=ruIzzbEUuolwv4R8LAgU%2FA%3D%3D,,2026-03-29 22:01:04
Data Scientist F/H,LA BANQUE POSTALE,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-f-h-at-la-banque-postale-4391064774?position=17&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=JGOZ4UjHnbbxvy5c5UZqew%3D%3D,,2026-03-29 22:01:04
Applied Scientist,ALBATROSS AI,France,linkedin,https://fr.linkedin.com/jobs/view/applied-scientist-at-albatross-ai-4386738639?position=18&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=UmubaoLb0ZbIMbD4I%2B%2FLrw%3D%3D,,2026-03-29 22:01:04
Data Scientist - Quantumblack Ai By Mckinsey,QUANTUMBLACK AI BY MCKINSEY,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-quantumblack-ai-by-mckinsey-at-quantumblack-ai-by-mckinsey-4233122195?position=19&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=l9EJdeA7gNbPBGJasMmivQ%3D%3D,,2026-03-29 22:01:04
Machine Learning Engineer - H/F,SIA,Paris Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/machine-learning-engineer-h-f-at-sia-4386765584?position=20&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=g2Xqb98uIak6elKio8fA1Q%3D%3D,,2026-03-29 22:01:04
Data Scientist (H/F),WITHINGS,Issy-les-Moulineaux Île-de-France France,linkedin,https://fr.linkedin.com/jobs/view/data-scientist-h-f-at-withings-4368367109?position=21&pageNum=0&refId=uZ%2F3UYiDtRy9xgIpoJNqDQ%3D%3D&trackingId=ijiYq%2BgqOczju5oOT3yFdg%3D%3D,,2026-03-29 22:01:04
